helpful,review
1,even latest update 25 still problem second last update newsfeed still get refresh earlier update j7 facebook home page refresh swipe profile page refresh pull close app reopen time refresh newsfeed page annoy embarrass hate fix earlier
1,latest update still issue able refresh newsfeed without close app would think developers would read review comment fix also need bring make ability make recent default option frustrate comment order people post
1,please stop mess ui add new feature nobody want ask like friend request tab want ability set fee recent instead see post see days already add direct nobody use stupid also news fee load properly time keep refresh unsatisfactory facebook
1,bring top news fee still scroll catch previous update friends disappoint miss stories news fee keep refresh reset back start also fix app issue freeze constantly please
1,issue still persist another update unable move app insufficient space internal space 75 sd card 50gb free space app 348mb space keep get error already try uninstalling instal app still uninstalled messenger fix far months try fix issue
1,fast tablet 3gb ram facebook app get ram hog even run alone stall crash apps facebook come screech halt multiple apps open along facebook please offer strip version happen april 2017 know know hows fix fix ffs
1,120 18 72 mess use close facebook look recent apps screen see suppose facebook icon place facebook icon actually see thumbnail htc one m7 leave panel desktop arrange leave panel center panel home page right panel mess facebook icon show thumbnail leave panel make think facebook take screen shoot phone panel please fix behavior look recent apps see facebook icon screen grab phone desktop send email happy email pic see recent apps screen
1,facebook latest update worst facebook app always blink open kind irritate screen blink wait blink avoid able scroll newsfeed free kindly fix issue immediate response highly appreciate
1,upload artistic photo woman breast nearly expose ban ridiculous even greatest painters paint picture ladies expose breast sham upload sexual photos ridiculous compute system get ban even defend rude
1,really tire default automatically reset top stories crap really never go bring back widget course facebook leave people hate get rid popular think
1,app always crash become dead weight week update newest version repeat reinstall solve problem happen devices crap
1,keep reinstall slow load close self get ridiculous use anything new update please friggin fix problem since person complain
1,app feed notification area keep get worse fire person people think want go back traditional notification fee continual scroll want know people may know go search area ugh
1,facebook many relation break privacy life really addictive worst street drug human nature love boast use
1,facebook listen people want recent default open page listen get head assess comply demand regardless whatever stupid reason concoct think anyone give crap old post
1,problem app open notifications blue open turn white right come blue open turn white without read want know
1,hate new update add update one want get bad almost possible use please fix update want useful thank
1,eat phone memory like crazy sometimes spike even 200 mb ram lag nexus 6p beware app may cause performance issue phone
1,past weeks cannot turn notifications post app htc1a husband issue samsung s6 issue need fix also keep get notification unread message facebook way share things family deactivate delete phone
1,damn app keep freeze everyday time restart whole phone get work
1,better bug fix change browse image facebook like browse image like messenger want post hate browse photos like browse image albums thank advance
